Front,Back
"Vector Space (Lay 4.1)","Nonempty set \(V\) with \(+\) and scalar mult satisfying 10 axioms: closure under \(+\) and scalar mult; associativity and commutativity of \(+\); additive identity \(\mathbf{0}\); additive inverse; two distributive laws; associativity of scalar mult; scalar identity 1."
"Subspace test — 3 conditions (Lay 4.1)","H is a subspace of V iff: (1) \(\mathbf{0} \in H\); (2) \(\mathbf{u},\mathbf{v} \in H \implies \mathbf{u}+\mathbf{v} \in H\); (3) \(\mathbf{u} \in H \implies c\mathbf{u} \in H\). All three required."
"Span shortcut for subspace (Lay 4.1)","\(\text{Span}\{\mathbf{v}_1,\ldots,\mathbf{v}_k\}\) is always a subspace. Use to skip the 10 axioms ONLY IF \(H\) is already expressed as an explicit span."
"Null Space \(\text{Null}(A)\) (Lay 4.2)","\(\text{Null}(A) = \{\mathbf{x} \in \mathbb{R}^n : A\mathbf{x} = \mathbf{0}\}\). Basis: solve \(A\mathbf{x}=\mathbf{0}\); write parametric solution; extract free-variable vectors."
"Column Space \(\text{Col}(A)\) (Lay 4.2)","\(\text{Col}(A)\) = Span of columns of \(A\) = range of \(\mathbf{x} \mapsto A\mathbf{x}\). Basis: pivot columns of ORIGINAL \(A\). Warning: RREF changes column vectors — do NOT use pivot columns from RREF."
"Row Space \(\text{Row}(A)\) (Lay 4.5)","\(\text{Row}(A)\) = Span of rows of \(A\). Basis: nonzero rows of RREF of \(A\). Row operations preserve row space, not column space."
"Linear Independence — definition (Lay 4.3)","\(\{\mathbf{v}_1,\ldots,\mathbf{v}_k\}\) is LI iff \(c_1\mathbf{v}_1 + \cdots + c_k\mathbf{v}_k = \mathbf{0} \implies c_1 = \cdots = c_k = 0\)."
"LI in polynomial space \(P_n\) (Lay 4.3)","Set \(\sum c_i p_i(t) = 0\) (zero polynomial). Match coefficients of \(1, t, t^2, \ldots\) independently. Solve system. LI iff all \(c_i = 0\)."
"Basis — definition (Lay 4.4)","S is a basis for V iff (1) S is LI and (2) S spans V. Both conditions required."
"Rank-Nullity Theorem (Lay 4.6)","\(\text{rank}(A) + \text{nullity}(A) = n\) where \(n\) = number of columns. \(\text{rank}(A) = \dim\text{Col}(A) = \dim\text{Row}(A) = \#\text{pivots}\). \(\text{nullity}(A) = \dim\text{Null}(A) = \#\text{free variables}\)."
"Coordinate vector \([\mathbf{x}]_\mathcal{B}\) (Lay 4.4)","If \(\mathcal{B}=\{\mathbf{b}_1,\ldots,\mathbf{b}_n\}\) is a basis: \([\mathbf{x}]_\mathcal{B} = (c_1,\ldots,c_n)^T\) where \(\mathbf{x} = c_1\mathbf{b}_1+\cdots+c_n\mathbf{b}_n\). Find by row-reducing \([\mathbf{b}_1 \mid \cdots \mid \mathbf{b}_n \mid \mathbf{x}]\)."
"Matrix of T relative to basis \(\mathcal{B}\) (Lay 4.7)","\(M_\mathcal{B} = \bigl[[T(\mathbf{b}_1)]_\mathcal{B} \mid \cdots \mid [T(\mathbf{b}_n)]_\mathcal{B}\bigr]\). Columns = \(\mathcal{B}\)-coordinate vectors of images of basis vectors. Apply \(T\) to each basis vector; express result in \(\mathcal{B}\)-coordinates."
"Eigenvalue/Eigenvector — definition (Lay 5.1)","\(\lambda\) is an eigenvalue of \(A\) iff \(\exists\) nonzero \(\mathbf{v}\) with \(A\mathbf{v} = \lambda\mathbf{v}\). Equivalently: \(\lambda\) is eigenvalue \(\iff \det(A - \lambda I) = 0 \iff (A - \lambda I)\) is singular."
"Eigenspace \(E_\lambda\) (Lay 5.1)","\(E_\lambda = \text{Null}(A - \lambda I)\). Basis: row-reduce \((A - \lambda I)\), write parametric solution, extract free-variable vectors. \(E_\lambda\) is always a subspace."
"Characteristic polynomial (Lay 5.2)","\(p(\lambda) = \det(A - \lambda I)\). Eigenvalues = roots of \(p(\lambda) = 0\). Degree \(= n\) for \(n \times n\) matrix."
"Triangular matrix shortcut for eigenvalues (Lay 5.2)","Eigenvalues = diagonal entries. Valid ONLY IF \(A\) is upper or lower triangular."
"Algebraic vs Geometric Multiplicity (Lay 5.3)","Alg. mult\((\lambda_0)\) = power of \((\lambda - \lambda_0)\) in \(p(\lambda)\). Geo. mult\((\lambda_0)\) = \(\dim \text{Null}(A - \lambda_0 I)\). Always: \(1 \leq \text{geo. mult} \leq \text{alg. mult}\)."
"Diagonalizability — necessary and sufficient (Lay 5.3)","\(A\) diagonalizable \(\iff\) geo. mult\((\lambda)\) = alg. mult\((\lambda)\) for ALL eigenvalues \(\lambda\). Equivalently: \(\mathbb{R}^n\) has a basis of eigenvectors of \(A\)."
"\(n\) distinct eigenvalues implies diagonalizable (Lay 5.3)","\(n\) distinct eigenvalues \(\implies A\) diagonalizable. Sufficient only — converse FAILS: repeated eigenvalues do not imply non-diagonalizable."
"\(A^k\) via diagonalization — precondition (Lay 5.3)","\(A^k = PD^kP^{-1}\), \(D^k = \text{diag}(\lambda_1^k,\ldots,\lambda_n^k)\). PRECONDITION (iff): \(A\) must be diagonalizable. If not diagonalizable, formula does not apply."
"Complex eigenvalues of real \(A\) (Lay 5.5)","If \(A\) real and \(\lambda = a+bi\) is eigenvalue \(\implies \bar{\lambda} = a-bi\) also eigenvalue. Eigenvectors conjugate pairs. Requires \(A\) real."
"Dot product (Lay 6.1)","\(\mathbf{u} \cdot \mathbf{v} = \sum u_i v_i\). Properties: symmetric \((\mathbf{u}\cdot\mathbf{v}=\mathbf{v}\cdot\mathbf{u})\); linear in each argument; \(\mathbf{u}\cdot\mathbf{u} \geq 0\); \(\mathbf{u}\cdot\mathbf{u}=0 \iff \mathbf{u}=\mathbf{0}\)."
"Orthogonality (Lay 6.1)","\(\mathbf{u} \perp \mathbf{v} \iff \mathbf{u} \cdot \mathbf{v} = 0\). Pythagorean identity (iff): \(\|\mathbf{u}+\mathbf{v}\|^2 = \|\mathbf{u}\|^2 + \|\mathbf{v}\|^2 \iff \mathbf{u} \perp \mathbf{v}\)."
"Orthogonal set implies LI (Lay 6.2)","An orthogonal set (no zero vectors) is LI. Proof: dot \(\sum c_i \mathbf{u}_i = \mathbf{0}\) with each \(\mathbf{u}_j\); orthogonality forces \(c_j = 0\)."
"Orthonormal columns (Lay 6.2)","\(U\) has orthonormal columns \(\iff U^T U = I\). Does NOT imply \(UU^T = I\) unless \(U\) is square."
"Projection onto vector \(\mathbf{u}\) (Lay 6.3)","\(\text{proj}_{\mathbf{u}}\,\mathbf{y} = \dfrac{\mathbf{y}\cdot\mathbf{u}}{\mathbf{u}\cdot\mathbf{u}}\,\mathbf{u}\). PRECONDITION: \(\mathbf{u} \neq \mathbf{0}\) (\(\mathbf{u}\cdot\mathbf{u} = 0 \iff \mathbf{u}=\mathbf{0}\), denominator undefined)."
"Projection onto subspace \(W\) (Lay 6.3)","\(\hat{\mathbf{y}} = \sum_i \frac{\mathbf{y}\cdot\mathbf{u}_i}{\mathbf{u}_i\cdot\mathbf{u}_i}\mathbf{u}_i\) where \(\{\mathbf{u}_1,\ldots,\mathbf{u}_k\}\) orthogonal basis for \(W\). PRECONDITION: basis must be orthogonal. If not, run Gram-Schmidt first."
"Decomposition \(\mathbf{y} = \hat{\mathbf{y}} + \mathbf{z}\) (Lay 6.3)","\(\mathbf{y} = \hat{\mathbf{y}} + \mathbf{z}\) where \(\hat{\mathbf{y}} \in W\) and \(\mathbf{z} = \mathbf{y} - \hat{\mathbf{y}} \perp W\). Verify: \(\mathbf{z}\cdot\mathbf{u}_i = 0\) for each basis vector. Distance to \(W\) = \(\|\mathbf{z}\|\)."
